id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
120152,Male,47,1,28.0,0,1-2 Year,Yes,42116.0,124.0,143,0
14539,Male,35,1,28.0,0,1-2 Year,Yes,60365.0,122.0,65,0
25067,Female,28,1,28.0,1,< 1 Year,No,23680.0,152.0,278,0
342057,Male,66,1,28.0,0,1-2 Year,Yes,49096.0,12.0,187,1
97638,Female,35,1,15.0,0,1-2 Year,Yes,2630.0,160.0,185,0
39089,Female,51,1,36.0,0,1-2 Year,Yes,26512.0,26.0,90,0
246546,Female,24,1,29.0,1,< 1 Year,No,28728.0,152.0,43,0
372317,Female,44,1,28.0,0,1-2 Year,No,36652.0,124.0,106,0
119305,Female,44,1,28.0,0,1-2 Year,Yes,43691.0,124.0,212,0
159444,Male,50,1,8.0,0,> 2 Years,Yes,45496.0,124.0,15,0
18630,Female,73,1,28.0,1,1-2 Year,No,34616.0,61.0,78,0
269483,Male,64,1,50.0,1,1-2 Year,No,2630.0,8.0,63,0
227689,Female,61,1,28.0,1,1-2 Year,No,2630.0,26.0,226,0
110699,Male,22,1,28.0,0,< 1 Year,No,58838.0,152.0,43,0
240541,Female,48,1,20.0,1,1-2 Year,No,2630.0,156.0,241,0
43411,Male,22,1,28.0,1,< 1 Year,No,58614.0,153.0,101,0
12507,Male,26,1,28.0,1,< 1 Year,No,32798.0,152.0,14,0
243085,Male,22,1,14.0,1,< 1 Year,No,31766.0,152.0,258,0
3752,Female,33,1,28.0,0,1-2 Year,Yes,2630.0,158.0,212,0
52708,Male,56,1,28.0,0,1-2 Year,Yes,30948.0,26.0,260,0
365751,Female,72,1,28.0,1,1-2 Year,No,46261.0,48.0,85,0
194726,Male,44,1,41.0,0,1-2 Year,Yes,2630.0,157.0,11,1
70045,Male,39,1,46.0,0,1-2 Year,Yes,18722.0,124.0,76,0
239985,Male,42,1,45.0,0,1-2 Year,No,2630.0,124.0,180,0
319534,Male,24,1,30.0,1,< 1 Year,No,20354.0,152.0,59,0
145954,Female,33,1,8.0,1,< 1 Year,No,28404.0,152.0,197,0
163509,Male,35,1,41.0,0,1-2 Year,Yes,19660.0,156.0,134,1
324482,Female,52,1,29.0,0,1-2 Year,Yes,56437.0,26.0,130,0
170444,Female,50,1,47.0,1,1-2 Year,No,45861.0,124.0,48,0
175023,Male,45,1,46.0,0,1-2 Year,Yes,44513.0,124.0,199,0
5350,Female,27,1,28.0,1,< 1 Year,No,34334.0,152.0,41,0
117581,Female,46,1,28.0,0,1-2 Year,Yes,41853.0,124.0,28,0
340407,Female,47,1,28.0,1,1-2 Year,No,2630.0,163.0,41,0
295832,Female,54,1,28.0,1,1-2 Year,No,38446.0,26.0,289,0
131439,Male,37,1,18.0,0,1-2 Year,Yes,39129.0,163.0,283,0
237553,Female,43,1,28.0,0,1-2 Year,Yes,41832.0,124.0,15,0
2813,Female,27,1,6.0,1,< 1 Year,No,26492.0,152.0,125,0
58182,Female,66,1,28.0,0,> 2 Years,Yes,2630.0,26.0,175,0
252038,Male,21,1,8.0,0,< 1 Year,Yes,54385.0,160.0,281,0
31676,Male,54,1,29.0,1,1-2 Year,Yes,51842.0,26.0,154,0
100510,Male,40,1,28.0,0,1-2 Year,Yes,41252.0,154.0,245,0
7116,Male,25,1,30.0,1,< 1 Year,Yes,35249.0,157.0,126,0
333172,Female,49,1,35.0,0,1-2 Year,Yes,26938.0,26.0,194,1
87387,Male,64,1,28.0,0,1-2 Year,Yes,33868.0,124.0,45,0
332558,Female,64,1,28.0,0,1-2 Year,No,2630.0,124.0,73,0
344116,Female,33,1,33.0,0,< 1 Year,No,40826.0,152.0,133,0
341125,Male,70,1,28.0,0,1-2 Year,Yes,35149.0,26.0,263,0
183230,Male,21,1,30.0,1,< 1 Year,Yes,2630.0,156.0,119,0
353804,Male,21,1,45.0,0,< 1 Year,Yes,42904.0,160.0,26,0
368951,Male,45,1,28.0,0,1-2 Year,Yes,41023.0,124.0,244,1
330821,Male,24,1,14.0,1,< 1 Year,No,34088.0,152.0,188,0
155752,Male,55,1,28.0,0,1-2 Year,Yes,28582.0,124.0,155,0
213815,Female,22,1,41.0,1,< 1 Year,No,21978.0,152.0,257,0
19385,Male,69,1,28.0,0,> 2 Years,Yes,64265.0,26.0,95,0
107473,Female,49,1,47.0,0,1-2 Year,No,35099.0,152.0,187,0
361231,Male,22,1,46.0,0,1-2 Year,Yes,2630.0,156.0,252,0
222523,Female,23,1,50.0,0,< 1 Year,Yes,34096.0,152.0,148,0
